gene_symbol,ENSEMBL_ID,cell_class,cell_type,DOI,comment
WT1,ENSG00000184937,malignant,cancer_cell,10.1242/dev.153163,Tumor_suppressor_WT1_is_lost_in_some_WT_cells
IGF2,ENSG00000167244,malignant,cancer_cell,10.1038/ng1293-408,NA
TP53,ENSG00000141510,malignant,anaplastic,10.1158/1078-0432.CCR-16-0985,Might_also_be_in_small_non_anaplastic_subset
MYCN,ENSG00000134323,malignant,anaplastic,10.18632/oncotarget.3377,Also_in_non_anaplastic_poor_outcome
MAX,ENSG00000125952,malignant,anaplastic,10.1016/j.ccell.2015.01.002,Also_in_non_anaplastic_poor_outcome
SIX1,ENSG00000126778,malignant,blastema,10.1016/j.ccell.2015.01.002,NA
SIX2,ENSG00000170577,malignant,blastema,10.1016/j.ccell.2015.01.002,NA
CITED1,ENSG00000125931,malignant,blastema,10.1593/neo.07358,Also_in_embryonic_kidney
PTPRC,ENSG00000081237,immune,NA,10.1101/gr.273300.120,NA
CD68,ENSG00000129226,immune,myeloid,10.1186/1746-1596-7-12,NA
CD163,ENSG00000177575,immune,macrophage,10.1186/1746-1596-7-12,NA
VWF,ENSG00000110799,endothelium,endothelium,10.1134/S1990747819030140,NA
CD3E,ENSG00000198851,immune,T_cell,10.1101/gr.273300.120,NA
MS4A1,ENSG00000156738,immune,B_cell,10.1101/gr.273300.120,NA
FOXP3,ENSG00000049768,immune,T_cell,10.1101/gr.273300.120,Treg
CD4,ENSG00000010610,immune,T_cell,10.1101/gr.273300.120,NA
CD8A,ENSG00000153563,immune,T_cell,10.1101/gr.273300.120,NA
EPCAM,ENSG00000119888,NA,epithelial,10.1016/j.stemcr.2014.05.013,epithelial_malignant_and_non_malignant
NCAM1,ENSG00000149294,malignant,blastema,10.1016/j.stemcr.2014.05.013,might_also_be_expressed_in_non_malignant
PODXL,ENSG00000128567,non-malignant,podocyte,10.1016/j.stem.2019.06.009,NA
COL6A3,ENSG00000163359,malignant,mesenchymal,10.2147/OTT.S256654,might_also_be_expressed_in_non_malignant_stroma
THY1,ENSG00000154096,malignant,mesenchymal,10.1093/hmg/ddq042,might_also_be_expressed_in_non_malignant_stroma
