cell_type	gene_symbol	ensembl_gene_id	source
tumor	CD99	ENSG00000002586	https://doi.org/10.1158/2767-9764.CRC-23-0027
tumor	CAV1	ENSG00000105974	https://doi.org/10.1158/2767-9764.CRC-23-0027
tumor	CCND1	ENSG00000110092	https://doi.org/10.1158/2767-9764.CRC-23-0027
tumor	HES1	ENSG00000114315	https://doi.org/10.1158/2767-9764.CRC-23-0027
tumor	KDSR	ENSG00000119537	https://doi.org/10.1158/2767-9764.CRC-23-0027
tumor	PAPPA	ENSG00000182752	https://doi.org/10.1158/2767-9764.CRC-23-0027
tumor	CD99	ENSG00000002586	https://doi.org/10.1101/2024.01.18.576251
tumor	STEAP1	ENSG00000164647	https://doi.org/10.1101/2024.01.18.576251
tumor	NKX2-2	ENSG00000125820	https://doi.org/10.1101/2024.01.18.576251
tumor	NR0B1	ENSG00000169297	https://doi.org/10.1101/2024.01.18.576251
tumor	MAPT	ENSG00000186868	https://doi.org/10.1101/2024.01.18.576251
tumor	PRKCB	ENSG00000166501	https://doi.org/10.1101/2024.01.18.576251
tumor	ADGRG2	ENSG00000173698	https://doi.org/10.1101/2024.01.18.576251
immune	PTPRC	ENSG00000081237	https://doi.org/10.1158/2767-9764.CRC-23-0027
mesenchymal-like cells	COL1A1	ENSG00000108821	https://doi.org/10.1158/2767-9764.CRC-23-0027
mesenchymal-like cells	COL3A1	ENSG00000168542	https://doi.org/10.1158/2767-9764.CRC-23-0027
endothelial cells	PECAM1	ENSG00000261371	https://doi.org/10.1158/2767-9764.CRC-23-0027
endothelial cells	VWF	ENSG00000110799	https://doi.org/10.1158/2767-9764.CRC-23-0027
